"dcod","municipio","bairro"
0,,
1,VILA VALERIO,CÓRREGO JURAMA
2,SERRA,ELDORADO
3,PANCAS,NOSSA SENHORA DAS GRAÇAS
4,VIANA,JUCÚ
5,COLATINA,PADRE JOSÉ DE ANCHIETA
6,SAO ROQUE DO CANAA,SITIO RECREIO
7,CASTELO,CASTELO III
8,BAIXO GUANDU,RESIDENCIAL BAIM
9,COLATINA,SANTA MARGARIDA
10,BAIXO GUANDU,ROSÁRIO II
11,SAO ROQUE DO CANAA,CINCO CASINHAS
12,SERRA,BARCELONA
13,SERRA,JOSÉ DE ANCHIETA I
14,CONCEICAO DO CASTELO,CENTRO
15,VILA VELHA,PRAIA DE ITAPARICA
16,NOVA VENECIA,ALTOÉ
17,COLATINA,NOSSA SENHORA APARECIDA
18,LINHARES,SANTA CRUZ
19,MUQUI,ENTRE MORROS
20,IUNA,QUILOMBO
21,JAGUARE,CENTRO
22,CARIACICA,VILA ISABEL
23,DOMINGOS MARTINS,Não Encontrado
24,SERRA,JARDIM LIMOEIRO
25,ANCHIETA,MÃE-BÁ
26,SAO ROQUE DO CANAA,CENTRO
27,VILA VALERIO,PARAÍSO NOVO
28,LINHARES,AVISO
29,VILA VELHA,JARDIM GUARANHUNS
30,GUARAPARI,LAGOA FUNDA
31,AFONSO CLAUDIO,Não Encontrado
32,MUQUI,BOA ESPERANÇA
33,SERRA,JARDIM CARAPINA
34,ANCHIETA,RECANTO DO SOL
35,SERRA,CIDADE CONTINENTAL
36,SAO MATEUS,MORADA DO RIBEIRÃO
37,NOVA VENECIA,COQUEIRAL
38,SAO MATEUS,FÁTIMA
39,SERRA,LAGOA DE CARAPEBUS
40,SAO ROQUE DO CANAA,SÃO DALMÁCIO
41,VILA VALERIO,VILA NOVA
42,ALEGRE,RIVE
43,GUARAPARI,PRAIA DO MORRO
44,SERRA,PORTO CANOA
45,NOVA VENECIA,RÚBIA
46,PINHEIROS,CENTRO
47,VILA VALERIO,Não Encontrado
48,BAIXO GUANDU,CENTRO
49,SERRA,JOSÉ DE ANCHIETA II
50,VIANA,VILA BETHÂNIA
51,VILA VALERIO,SANTA RITA
52,VILA VALERIO,SÃO LUÍS
53,SERRA,CONJUNTO CARAPINA I
54,CONCEICAO DA BARRA,CENTRO
55,LINHARES,INTERLAGOS
56,NOVA VENECIA,SÃO CRISTOVÃO
57,VILA VALERIO,CORREGO ARAPONGA
58,GUARAPARI,MUQUIÇABA
59,NOVA VENECIA,AEROPORTO 2
60,LINHARES,SÃO JOSÉ
61,SERRA,NOVA CARAPINA I
62,ARACRUZ,GUARANÁ
63,VENDA NOVA DO IMIGRANTE,MINETE
64,SERRA,VALPARAÍSO
65,SERRA,EURICO SALLES
66,VILA VELHA,GUARANHUNS
67,VIANA,AREINHA
68,VIANA,NOVA BETHÂNIA
69,SERRA,COLINA DE LARANJEIRAS
70,ANCHIETA,CANTAGALO
71,ALEGRE,Não Encontrado
72,CACHOEIRO DE ITAPEMIRIM,VILAGE DA LUZ
73,ITAGUACU,CENTRO
74,VIANA,MORADA DE BETHANIA
75,SAO MATEUS,Não Encontrado
76,ANCHIETA,CENTRO
77,SERRA,TAQUARA I
78,DOMINGOS MARTINS,CENTRO
79,GUARAPARI,BARRO BRANCO
80,PIUMA,BALNEÁRIO MONTE AGHÁ
81,SERRA,CASCATA
82,NOVA VENECIA,DIADEMA
83,COLATINA,VILA LENIRA
84,IACU,
85,MONTANHA,CENTRO
86,VILA VALERIO,NOSSA SENHORA DA PENHA
87,GUARAPARI,IPIRANGA
88,SERRA,SERRA DOURADA II
89,SERRA,LARANJEIRAS VELHA
90,MARATAIZES,BELO HORIZONTE
91,LINHARES,INTERLAGOS I
92,CONCEICAO DA BARRA,ITAÚNAS
93,VITORIA,FORTE SÃO JOÃO
94,VIANA,CANAÃ
95,SERRA,CASTELÂNDIA
96,IACU,
97,MONTANHA,DECÃO
98,COLATINA,VILA AMÉLIA
99,IBIRACU,ELIAS BRAGATTO
100,SERRA,CIDADE POMAR
101,CARIACICA,ITANGUÁ
102,CARIACICA,ROSA DA PENHA
103,VIANA,RIBEIRA
104,IACU,
105,CARIACICA,MORADA DE SANTA FÉ
106,IACU,
107,SERRA,OURIMAR
108,SERRA,BAIRRO DE FÁTIMA
109,SERRA,BALNEÁRIO DE CARAPEBUS
110,VITORIA,JARDIM CAMBURI
111,IACU,
112,MARATAIZES,JACARANDÁ
113,VIANA,INDUSTRIAL
114,GUARAPARI,MEAÍPE
115,PINHEIROS,RESIDENCIAL PINHEIROS
116,CONCEICAO DA BARRA,FLORESTA
117,IACU,
118,LINHARES,TRÊS BARRAS
119,NOVA VENECIA,CENTRO
120,JAGUARE,ÁGUA LIMPA E ARICANGA
121,CACHOEIRO DE ITAPEMIRIM,VARGEM GRANDE DE SOTURNO
122,ANCHIETA,PORTAL DE ANCHIETA
123,VIANA,ARLINDO VILLASCH
124,SERRA,PRAIA DA BALEIA
125,JAGUARE,BOA VISTA II
126,VITORIA,JARDIM DA PENHA
127,SAO MATEUS,AVIAÇÃO
128,LINHARES,INTERLAGOS - CAIC
129,SERRA,PARQUE RESIDENCIAL TUBARÃO
130,SERRA,SÃO DIOGO II
131,GUARAPARI,AEROPORTO
132,LINHARES,FARIAS
133,SAO ROQUE DO CANAA,VILA VERDE
