,pclass,sex,age,sibsp,parch,fare,survived
271,1,0,24.0,1,0,82.2667,1
24,1,1,29.0,0,0,221.7792,1
108,1,1,36.0,0,0,110.8833,1
33,1,1,58.0,0,0,26.55,1
582,2,1,12.0,0,0,15.75,1
112,1,1,28.0,3,2,263.0,1
794,3,1,5.0,0,0,12475.0,1
492,2,0,1.0,0,2,37.0042,1
260,1,1,40.0,0,0,153.4625,1
1088,3,0,32.0,0,0,7775.0,1
141,1,1,45.0,0,1,63.3583,1
112,1,1,28.0,3,2,263.0,1
353,2,1,20.0,1,0,26.0,1
72,1,1,26.0,1,0,136.7792,1
621,3,1,19.0,1,0,7.8542,1
550,2,1,24.0,2,3,18.75,1
362,2,1,35.0,0,0,21.0,1
1001,3,1,15.0,2,0,23.25,1
190,1,1,21.0,0,0,77.9583,1
178,1,1,45.0,1,0,52.5542,1
560,2,1,30.0,0,0,13.0,1
270,1,1,18.0,1,0,60.0,1
317,1,0,21.0,0,1,61.3792,1
152,1,0,24.0,0,0,30.0,1
483,2,1,34.0,0,0,33.0,1
1057,3,1,14.0,1,0,11.2417,1
818,3,1,16.0,0,0,7.7333,1
79,1,1,55.0,2,0,25.7,1
785,3,1,22.0,1,0,13.9,1
59,1,1,36.0,0,0,27.7208,1
50,1,1,58.0,0,1,512.3292,1
90,1,1,27.0,1,2,52.0,1
889,3,0,26.0,0,0,7775.0,1
471,2,1,45.0,0,0,13.5,1
643,3,1,5.0,4,2,31.3875,1
646,3,1,38.0,1,5,31.3875,1
131,1,1,45.0,0,1,59.4,1
319,1,1,31.0,0,0,134.5,1
587,2,0,2.0,1,1,23.0,1
1238,3,0,25.0,0,0,7.7958,1
762,3,0,1.0,1,2,20575.0,1
350,2,1,15.0,0,2,39.0,1
186,1,1,55.0,0,0,27.7208,1
48,1,1,53.0,0,0,27.4458,1
1228,3,0,31.0,0,0,7925.0,1
120,1,0,43.0,1,0,27.7208,1
82,1,1,36.0,0,2,71.0,1
427,2,0,0.6667,1,1,14.5,1
1258,3,1,29.0,0,2,15.2458,1
78,1,1,64.0,0,2,83.1583,1
204,1,1,65.0,1,0,82.1708,1
362,2,1,35.0,0,0,21.0,1
621,3,1,19.0,1,0,7.8542,1
342,2,1,36.0,0,3,39.0,1
76,1,1,39.0,1,1,83.1583,1
564,2,1,40.0,0,0,13.0,1
1079,3,1,22.0,0,0,7775.0,1
213,1,1,31.0,1,0,113275.0,1
1094,3,1,31.0,0,0,8.6833,1
520,2,0,20.0,0,0,13.8625,1
400,2,1,34.0,1,1,32.5,1
941,3,0,25.0,0,0,7.2292,1
446,2,1,20.0,2,1,23.0,1
991,3,0,30.5,0,0,7.2292,1
1004,3,1,15.0,0,0,7.7875,1
449,2,1,54.0,1,3,23.0,1
867,3,1,22.0,1,1,12.2875,1
109,1,0,36.0,0,0,26.3875,1
296,1,1,39.0,1,1,110.8833,1
798,3,0,18.0,0,0,7.05,1
823,3,1,31.0,1,1,20525.0,1
465,2,1,23.0,0,0,13.7917,1
1196,3,0,29.0,0,0,9.5,1
123,1,0,60.0,1,1,79.2,1
143,1,0,25.0,1,0,55.4417,1
66,1,1,36.0,0,0,262375.0,1
551,2,1,50.0,0,0,10.5,1
41,1,1,44.0,0,0,27.7208,1
941,3,0,25.0,0,0,7.2292,1
113,1,1,23.0,3,2,263.0,1
469,2,1,35.0,0,0,12.35,1
216,1,1,19.0,0,2,26.2833,1
572,2,1,28.0,0,0,12.65,1
54,1,0,11.0,1,2,120.0,1
611,3,0,0.8333,0,1,9.35,1
214,1,1,23.0,1,0,113275.0,1
441,2,1,55.0,0,0,16.0,1
647,3,1,45.0,0,0,7225.0,1
129,1,1,35.0,0,0,211.5,1
1238,3,0,25.0,0,0,7.7958,1
29,1,0,28.0,0,0,26.55,1
87,1,0,27.0,0,0,30.5,1
909,3,0,32.0,0,0,7925.0,1
645,3,0,23.0,0,0,7.7958,1
271,1,0,24.0,1,0,82.2667,1
121,1,1,22.0,1,0,133.65,1
93,1,0,53.0,1,1,81.8583,1
1238,3,0,25.0,0,0,7.7958,1
192,1,1,58.0,0,0,146.5208,1
144,1,1,25.0,1,0,55.4417,1
993,3,1,15.0,0,0,7.7375,1
